id;data_inicial;data_final;lingua
1;2020-06-07T19:41:03;2020-06-07T03:23:41;PORTUGUESE
2;2020-06-07T15:23:57;2020-06-08T01:24:14;ENGLISH
3;2020-06-07T07:16:58;2020-06-07T20:40:26;ENGLISH
4;2020-06-07T11:11:07;2020-06-07T14:17:25;ENGLISH
5;2020-06-07T19:55:43;2020-06-07T17:39:36;ENGLISH
6;2020-06-07T04:14:43;2020-06-07T06:27:39;ENGLISH
7;2020-06-07T04:03:36;2020-06-07T22:35:54;ENGLISH
8;2020-06-07T10:11:41;2020-06-07T22:42:47;PORTUGUESE
9;2020-06-07T19:38:59;2020-06-07T22:46:57;ENGLISH
10;2020-06-07T13:23:36;2020-06-07T07:07:11;ENGLISH
